Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
12/31/15,536,529
12/30/15,731,729
12/29/15,744,764
12/28/15,594,612
12/27/15,100,102
12/26/15,250,238
12/25/15,150,114
12/24/15,306,286
12/23/15,602,617
12/22/15,777,858
12/21/15,616,659
12/20/15,273,239
12/19/15,442,366
12/18/15,842,866
12/17/15,821,837
12/16/15,1208,1228
12/15/15,1191,1239
12/14/15,1243,1278
12/13/15,256,234
12/12/15,225,222
12/11/15,992,1065
12/10/15,881,960
12/9/15,1085,1135
12/8/15,855,901
12/7/15,1013,1028
12/6/15,236,244
12/5/15,221,187
12/4/15,1113,1155
12/3/15,910,974
12/2/15,1200,1315
12/1/15,1259,1339
11/30/15,2329,1132
11/29/15,605,293
11/28/15,798,439
11/27/15,882,461
11/26/15,532,259
11/25/15,2016,972
11/24/15,1952,905
11/23/15,2278,1096
11/22/15,958,525
11/21/15,1119,617
11/20/15,2520,1217
11/19/15,2937,1420
11/18/15,2927,1431
11/17/15,1788,883
11/16/15,2403,1161
11/15/15,833,463
11/14/15,405,207
11/13/15,1612,779
11/12/15,2575,1265
11/11/15,2629,1258
11/10/15,3357,1608
11/9/15,2299,1091
11/8/15,681,363
11/7/15,525,260
11/6/15,2499,1213
11/5/15,2927,1445
11/4/15,3432,1714
11/3/15,3304,1606
11/2/15,3024,1472
11/1/15,522,267
10/31/15,260,234
10/30/15,999,991
10/29/15,1456,1551
10/28/15,1269,1305
10/27/15,1826,1929
10/26/15,1153,1212
10/25/15,489,413
10/24/15,632,556
10/23/15,1497,1590
10/22/15,1766,1840
10/21/15,1711,1781
10/20/15,1871,1924
10/19/15,1463,1558
10/18/15,431,406
10/17/15,717,628
10/16/15,1756,1709
10/15/15,1852,1921
10/14/15,1768,1838
10/13/15,1721,1739
10/12/15,1664,1754
10/11/15,785,663
10/10/15,301,238
10/9/15,1503,1616
10/8/15,1769,1819
10/7/15,1131,1228
10/6/15,1902,1983
10/5/15,1986,2067
10/4/15,1100,875
10/3/15,911,828
10/2/15,1477,1540
10/1/15,2022,2079
9/30/15,1992,2063
9/29/15,2097,2239
9/28/15,1907,1955
9/27/15,895,676
9/26/15,899,869
9/25/15,1314,1370
9/24/15,2086,2235
9/23/15,2270,2292
9/22/15,2190,2361
9/21/15,1824,1981
9/20/15,712,591
9/19/15,981,853
9/18/15,1461,1539
9/17/15,1160,1293
9/16/15,1782,1949
9/15/15,1795,1862
9/14/15,1615,1669
9/13/15,648,679
9/12/15,1178,1013
9/11/15,1863,1898
9/10/15,1961,2069
9/9/15,2070,2243
9/8/15,1733,1932
9/7/15,1107,898
9/6/15,466,425
